segment,cell_name,stop_type,geography,density_ref_stops_km2,walk_time_mean_sec,walk_time_sd_sec,handoff_mean_sec,handoff_sd_sec,handoff_lognorm_mu,handoff_lognorm_sigma,increment_per_pkg_mean_sec,increment_per_pkg_sd_sec,total_n1_mean_sec,total_n1_sd_sec,total_n1_lognorm_mu,total_n1_lognorm_sigma,signature_premium_mean_sec,signature_premium_sd_sec,n_studies_handoff,n_stops_handoff,i2_handoff,source_handoff,n_studies_increment,source_increment,au_adjustment
C1,CBD Residential,Residential SFD,CBD / Urban Dense,3000,32.5,11.4,90.0,40.0,4.3,0.43,10.0,4.5,122.5,41.6,4.7536,0.3303,45,20,0,0,,synthetic_fallback,1,literature,1.05
C2,Urban MDU,MDU / Apartment,CBD / Urban Dense,2500,34.5,12.1,229.9,189.3,5.1788,0.7194,8.7,2.9,264.4,189.7,5.3699,0.6444,45,20,4,878,99.5,literature,2,literature,1.15
C3,CBD Commercial,Commercial,CBD / Urban Dense,4000,29.8,10.4,279.5,129.8,5.5354,0.4419,12.0,5.0,309.3,130.2,5.6527,0.4039,45,20,2,1047,98.6,literature,0,synthetic_fallback,1.0
C4,Suburban Residential,Residential SFD,Suburban / Fringe,800,51.8,18.1,105.7,80.8,4.4312,0.6778,10.0,4.5,157.5,82.8,4.9374,0.494,45,20,5,16600,100.0,literature,1,literature,0.95
C5,Suburban MDU,MDU / Apartment,Suburban / Fringe,1200,44.5,15.6,200.0,85.0,5.19,0.41,8.7,2.9,244.5,86.4,5.4404,0.3431,45,20,0,0,,synthetic_fallback,2,literature,1.1
C6,Suburban Commercial,Commercial,Suburban / Fringe,1500,41.0,14.4,70.0,30.0,4.12,0.41,12.0,5.0,111.0,33.3,4.6665,0.2934,45,20,0,0,,synthetic_fallback,0,synthetic_fallback,0.95
